Date,Open,High,Low,Close,Adj Close,Volume
1986-07-09,10.6875,11.0625,10.5625,11.0,7.387213706970215,1116800
1986-07-10,11.0625,11.125,10.6875,10.9375,7.345238208770752,595600
1986-07-11,10.875,10.9375,10.5625,10.5625,7.093403339385986,800400
1986-07-14,10.625,10.625,10.125,10.25,6.883538246154785,738000
1986-07-15,10.1875,10.1875,9.3125,9.9375,6.6736741065979,2059200
1986-07-16,9.9375,10.5,9.9375,10.125,6.799590110778809,1160400
1986-07-17,10.125,10.25,10.0,10.1875,6.841567039489746,1046000
1986-07-18,10.1875,10.34375,10.0,10.25,6.883538246154785,1420000
1986-07-21,10.25,10.3125,10.1875,10.25,6.883538246154785,322800
1986-07-22,10.25,10.28125,10.1875,10.1875,6.841567039489746,390800
1986-07-23,10.25,10.25,10.0,10.0625,6.757620334625244,1004000
1986-07-24,10.0625,10.125,9.8125,9.9375,6.6736741065979,1071600
1986-07-25,9.9375,10.125,9.875,10.0625,6.757620334625244,688400
1986-07-28,10.0625,10.25,9.96875,10.125,6.799590110778809,414800
1986-07-29,10.0,10.1875,10.0,10.1875,6.841567039489746,278400
1986-07-30,10.0625,10.125,9.875,10.125,6.799590110778809,459200
1986-07-31,10.125,10.25,10.0,10.0625,6.757620334625244,1213600
1986-08-01,10.0,10.125,9.75,9.75,6.547755241394043,1118000
1986-08-04,9.8125,9.8125,9.53125,9.75,6.547755241394043,892400
1986-08-05,9.75,9.75,9.5,9.5625,6.42183780670166,868800
1986-08-06,9.5625,9.625,9.125,9.125,6.128030300140381,550400
1986-08-07,9.0,9.0625,8.125,8.375,5.62435245513916,7560000
1986-08-08,8.4375,8.9375,8.375,8.875,5.960136890411377,2802000
1986-08-11,9.0,9.125,8.875,9.125,6.128030300140381,1428000
1986-08-12,9.125,9.4375,9.125,9.375,6.295918941497803,1155200
1986-08-13,9.4375,10.09375,9.375,9.6875,6.505782127380371,865600
1986-08-14,9.75,9.8125,9.375,9.5,6.379862308502197,762000
1986-08-15,9.5,9.5,9.1875,9.375,6.295918941497803,654400
